teacher_id,student_id,lab_id,lab_difficulty,duration_minutes,time_elapsed_minutes,score,defense_date
45689102,11223344,1,1,8.5,10.0,5,2026-06-01
45689102,55667788,2,2,14.2,25.0,4,2026-06-01
45689102,99001122,3,3,22.1,45.0,5,2026-06-01
45689102,10101010,1,1,7.8,60.0,4,2026-06-01
45689102,20202020,4,2,13.5,75.0,3,2026-06-01
45689102,30303030,5,3,25.4,95.0,5,2026-06-01
77889900,40404040,1,1,10.2,15.0,4,2026-06-02
77889900,50505050,1,1,9.5,30.0,5,2026-06-02
77889900,60606060,2,2,16.8,45.0,4,2026-06-02
77889900,70707070,2,2,15.1,65.0,3,2026-06-02
77889900,80808080,3,3,28.7,85.0,5,2026-06-02
77889900,90909090,3,3,21.3,110.0,4,2026-06-02
45689102,11112222,1,1,8.1,12.0,5,2026-06-03
45689102,33334444,2,2,12.9,28.0,4,2026-06-03
45689102,55556666,3,3,19.8,50.0,5,2026-06-03
45689102,77778888,1,1,7.2,65.0,4,2026-06-03
45689102,99990000,2,2,14.7,85.0,3,2026-06-03
45689102,12121212,3,3,24.2,105.0,5,2026-06-03
12345678,23232323,1,1,11.5,10.0,4,2026-06-04
12345678,34343434,2,2,17.2,35.0,5,2026-06-04
12345678,45454545,3,3,31.0,60.0,4,2026-06-04
12345678,56565656,1,1,10.8,80.0,3,2026-06-04
12345678,67676767,2,2,16.4,100.0,5,2026-06-04
12345678,78787878,3,3,26.9,125.0,4,2026-06-04
